Runde,Dato,Dag,Tid,Hjemmelag,Hjemme,Borte,Bortelag,Bane,Kampnr,Sesong
1,14-03-2009,lørdag,20:00:00,Stabæk,1,1,Lillestrøm,Telenor Arena,99120001008,2009
1,15-03-2009,søndag,18:00:00,Bodø/Glimt,1,1,Fredrikstad,Aspmyra Kgb,99120001001,2009
1,15-03-2009,søndag,18:00:00,Viking,3,0,Odd,SR-Bank Arena,99120001004,2009
1,15-03-2009,søndag,18:00:00,Lyn Oslo,0,1,Molde,Ullevaal Stadion,99120001007,2009
1,15-03-2009,søndag,18:00:00,Strømsgodset,3,3,Start,Marienlyst stadion,99120001002,2009
1,15-03-2009,søndag,18:00:00,Aalesund,1,1,Tromsø,Color Line Stadion,99120001005,2009
1,15-03-2009,søndag,20:00:00,Rosenborg,3,0,Vålerenga,Lerkendal stadion,99120001006,2009
1,16-03-2009,mandag,19:00:00,Sandefjord,3,1,Brann,Komplett Arena,99120001003,2009
2,21-03-2009,lørdag,16:00:00,Vålerenga,1,1,Aalesund,Ullevaal Stadion,99120001010,2009
2,22-03-2009,søndag,18:00:00,Molde,3,1,Bodø/Glimt,Aker stadion,99120001009,2009
2,22-03-2009,søndag,18:00:00,Odd,2,0,Sandefjord,Skagerak Arena,99120001015,2009
2,22-03-2009,søndag,18:00:00,Lillestrøm,1,1,Viking,Åråsen stadion,99120001014,2009
2,22-03-2009,søndag,18:00:00,Fredrikstad,2,0,Strømsgodset,Fredrikstad stadion,99120001016,2009
2,22-03-2009,søndag,18:00:00,Start,1,1,Lyn Oslo,Sparebanken Sør Arena,99120001011,2009
2,22-03-2009,søndag,20:00:00,Brann,1,1,Stabæk,Brann stadion,99120001013,2009
2,23-03-2009,mandag,19:00:00,Tromsø,2,4,Rosenborg,Alfheim stadion,99120001012,2009
3,04-04-2009,lørdag,16:00:00,Viking,0,1,Start,SR-Bank Arena,99120001021,2009
3,05-04-2009,søndag,18:00:00,Strømsgodset,0,2,Molde,Marienlyst stadion,99120001019,2009
3,05-04-2009,søndag,18:00:00,Bodø/Glimt,0,2,Lyn Oslo,Aspmyra Kgb,99120001018,2009
3,05-04-2009,søndag,18:00:00,Stabæk,3,3,Odd,Telenor Arena,99120001024,2009
3,05-04-2009,søndag,18:00:00,Aalesund,3,1,Lillestrøm,Color Line Stadion,99120001022,2009
3,05-04-2009,søndag,18:00:00,Sandefjord,1,1,Fredrikstad,Komplett Arena,99120001020,2009
3,05-04-2009,søndag,20:00:00,Rosenborg,1,1,Brann,Lerkendal stadion,99120001023,2009
3,06-04-2009,mandag,19:00:00,Vålerenga,2,4,Tromsø,Ullevaal Stadion,99120001017,2009
4,08-04-2009,onsdag,18:00:00,Start,1,2,Rosenborg,Sparebanken Sør Arena,99120001027,2009
